"","V2"
"1","My classmates are very hardworking, creative, supportive, and energetic classmates!"
"2","NO ONE TALKS TO EACH OTHER, EVERYONE IS GLUED TO THEIR CELL PHONES AND UNABLE TO HAVE A CONVERSATION WITH ONE ANOTHER"
"3","The are alot! of students at Ohio State. "
"4","The Ohio State University student body is full of goal-oriented, hard working, fun loving, pre-professional from all around the world."
"5","Ohio State students, are high achieving smart students who were all ranked very high in their high school classes, however they are friendly and very willing to help out."
"6","My classmates are what makes my time here at The Ohio State University so enjoyable and memorable. The atmosphere of my classes is extremely friendly and open-minded, so it makes for lasting friendships in each class. However, the friendships go beyond the classmates. In a campus with nearly 60,000 students, any individual is bound to find someone else of which they can create a lifelong relationship with. The abundance of friendly people at Ohio State is overwhelming to an extent due to the rarity of that atmosphere in this world; but that's what makes it so unique!"
"7","My classmates are the friendliest and most helpful people I've ever met."
"8","It's cliche to say, but Ohio State is incredibly diverse and anyone can fit in. There are so many different types of people it's hard to believe anyone could feel left out. If you're not a  sports fan you might feel a little distant on Saturdays in the fall but nothing problematic.  Most students are in-state but there are tons of out-of-state and international students. As an out-of-state student I never felt excluded or isolated because of where I was from. Students are incredibly laid back and pretty much anything goes. People can go to class in their PJs or get dressed up, it's completely up to you and will go judgement free. "
"9","My classmates are all fun and loving but are also very serious about their studies and have a great work ethic."
"10","My classmates at Ohio State served as my family away from home; they were the support group I turned to in times of pleasure and pain, constantly challenging yet encouraging my personal growth."
"11","It is difficult to generalize since I am at so large of a school, but most of  my classmates are friendly and we often have some area of interest in common."
"12","The majority of the students are white though Ohio State does have a large number of international students. Though the majority of the students are white, there are all kinds of diverse races at Ohio State and students are very accepting of all kinds of people so students will most likely not have a problem fitting in. Most students are very casual and wear jeans and t-shirts or athletic shorts. There is a lot of Ohio State gear worn, many of it being free from events.Most of the students are from Ohio though I am personally a out of state student from Chicago. The financial background that seems the most prevalent is the middle class."
"13","My classmates are friendly and while we are competitive we do want to see one another succeed."
"14","My classmates are full of pride for their Buckeyes, from football games to cookouts, my former classmates are energetic and extremely gregarious."
"15","My classmates are driven, eager and interactive as well as interested in learning for the sake of gaining valuable knowledge and further developing their character and skills for a hopeful future."
"16","Very diverse, friendly."
"17","My classmates are very intelligent, and have driven to do my best at Ohio State."
"18","Very interesting people."
"19","My classmates are driven, intelligent, enthusiastic and engaging."
"20","On a campus where there are over 50,000 enrolled students, there are few adjectives that describe everyone, but at the Ohio State University you'll be sure to find tens of thousands of incredibly inteligent people with all kinds of backgrounds and interests."
"21","My classmates are diverse, interesting, and all have the desire to learn and become successful in their adult lives."
"22","Students at Ohio State are like chili brewing in a pot- an array of very different indgredients coming together to produce one fabulous outcome."
"23","As I have said before, OSU maintains a wide and diverse demographic, and doesn't short-change any one group. While there may be a plethora of white students, it is not particularly different from the racial makeup of the United States as a whole. 
Politically Ohio State is very divided, though also very active."
"24","They're nice to talk to, but many of them already have a circle of friends here from high school, so it can be hard for an introverted student from out-of-state like me to make friends."
"25","My classmates have brought unique perspectives to class that benefit my own learning experience."
"26","In one word: diversity; In one sentence: Our classmates come from all walks of life with the determination to reach their goals and make memories at one of the greatest universities in the nation."
"27","At a large school like Ohio State, my classmates can only be defined as ""diverse,"" as I had many classes with a wide variety of people."
"28","lol"
"29","My classmates have the same zeal I do when it comes to schoolwork, however most of them are better off financially. Most of my classmates are in honors engineering courses with me, so we tend to share interests. I, along with most of my classmates, put schoolwork first. I really enjoy studying with my classmates because we all support one another, even though we compete directly against one another. Politically speaking, my friends are all over the spectrum and I really enjoy hearing their stances on social issues."
"30","There are a whole lot of people here, so it can be hard to describe them all, but the more I am here, the more I come to learn that everyone is ready to talk to you and are just as scared of you as you are of them."
"31","Some are quiet, some are loud. In such a big place, there are people of all sorts. You never know who you're going to get."
"32","Everyone is their own individual and eager to learn."
"33","Students at my school are very diverse, open minded and tolerant.  We have active student organizations that represent all sort of ethnicities, religions, political views, sexual orientations, and other interests.  "
"34","Starting answering! Amazing LGBTQ community at OSU"
"35","For the most part, lucky."
"36","I am constantly surrounded by classmates who exceed expectations in the classroom and out, and are kind-hearted, open-minded people that I know will some day be the strong leaders in our country."
"37","My classmates are typically all very approachable people, and everybody tends to be extremely supportive of everybody else!"
"38","Diversity: our school is public and huge and thus diverse with all kinds of groups and courses about such groups: religious, LGBT, socio-economic, out-of-state students, international students, politically diverse students, athletic, smart.
Students out of place: I cannot think of any kind of person who wouldn't find his niche at Ohio State
Wear: OSU gear, sweat pants and sweat shirts, jeans
Different types interact: yes, more than any other place I've seen. You'd see Asians joining fraternities for Blacks or Hispanics. You'd see international students and Utahans preach. You'd see Muslims getting involved in inter-religious groups. 
Tables in dining hall: four sophomore male athletes enjoying fun talk with one or two girls, 7 freshmen dorm residents trying to seem fun and college material to their peers, two female junior students tired of work and school work, venting out to each other, three students debating serious matters like politics, or science or their class material.
Most students from: Ohio
Financial background: lower-middle class to middle class. You'll hear: I'm a student, I'm broke wherever you go on campus.
Most students aren't politically aware, not active, predominantly left, but right-wingers, don't let that discourage you. 
I haven't heard a student say how much they'd like to earn one day. There's a lot more focus on how much am I serving instead."
"39","Ohio State is an incredibly diverse campus. I don't believe anyone could feel out of place here. There are so many resources, clubs, classes organizations, etc that allow people to find something they relate to. This also allows them to connect with people they have things in common with. Students come from all different backgrounds and parts of the world. Some students wear sweatpants and a jacket to class, some wear suits, some wear dresses and heels. There are many kinds of people, wardrobes and looks. From my experiences people don't choose their friends based on just looks or money or background. There are so many diverse groups of people that end up being friends past college. It is very different for me than high school where there are the cliques of people. Ohio State was so refreshing to come to. I met so many different kinds of people and became friends with people that came from all different places in the works, different backgrounds, and races. It is an atmosphere not based on money or looks, its is an overall accepting and diverse atmosphere, which I believe is one of the best things about Ohio State."
"40",""
"41","It is impossible to describe Ohio State students in one short paragraph. The students are extremely diverse, with tons of different ethnicities, sexual orientation, socio-economic status etc. For this reason, I find that most OSU students are accepting of people other than themselves and open to other cultures and practices. No student could ever feel out of place at Ohio State because there are a 1,000 groups to get involved with, and there is surely something that you would share in common with others. Most students are laid back, wearing casual clothes to class and simply being there to get the class over with. On the weekends, people hang out with their own groups of friends and do what they like to do-such as getting dressed up and going dancing, or just staying in to relax and watch a movie. There are all types of people represented at OSU!"
"42","My classmates at OSU are diverse, intelligent, adventurous and independent which inspires me to mingle often with them."
"43","It is hard to generalize one statement to so many students; however, I will say that, those that I do know, are intelligent and hardworking, but definitely know how to go out and have a great time."
"44","My classmates at Ohio State University are very diverse in that some are very career focused, while others are more focused on networking and searching for the ultimate college experience; you're best bet is to go to college for the education and get involved in just a few activities to stay focused on why you are there."
"45","Most of my classmates are very hardworking and committed."
"46","Were all hard working and were all currently under the same stress level as far as being in a new place goes. Everyone on campus seems very accepting and kind. There are so many opportunities to find your own niche."
"47","Ohio State is such a big school that you have the opportunity to meet so many new wonderful people."
"48","Most Ohio State students are friendly and fun. "
"49","Peers at Ohio State share the exact same pride you would if you attened.  They are very friendly and are approachable. I met a ton of people and formed awesome study groups.  Classes are tough and these classmate can be of great assistance."
"50","I am  transfer student from a smaller college next door to The Ohio State, but it was the interaction with the sudents and my future classmates there that encouaged me to attend, and I feel honored to finally be apart of it."
"51","This school is large, spirited, and outgoing."
"52","Ohio State is a very large school that can be overwhelming but with the right attitude, you can find all the resources you need there."
"53","Ohio State is a very big and beautiful campus and there's always something to do; it's a great school academically and athletically."
"54","The Ohio State University, a very demanding school academic wise yet culturaly aware. Ohio state offeres you the best of both worlds. You get to receive top of the line education while also having the ability to express the form of culture you represent, and the football team is a plus. There are cultural groups for practically everyone. From the latino student associtation to the malaysian student association. At least each continent has a group represenation at Ohio State and if you don't seem to find a group that relates to your culture, you can create one."
"55","All the variety of the world and education all in one place."
"56","Big campus, with big school pride which matches its supreme academic values."
"57","The largest campus in the nation - bringing with it the largest variety of opportunities, activities, and teaching staff."
"58","My college is the most awesome place to be; it has everything anyone would need."
"59","The Ohio State University has school spirit."
"60","THE nuttiest family in the nation."
"61","The Ohio State University is a social mecca that allows individuals to fully express themselves while receiving a fantastic education."
"62","The Ohio State University is a diverse college that allows everyone to live up to their potential and offers every student a chance to find out who they are, whether it's through the Bacon Club, the various youth groups, the volunteer groups, or the amazing football games every fall Saturday."
"63","At Ohio State, we are extremely passionate about everything we represent."
"64","OSU is so diverse, there is something for everyone no matter what your interests are or what your major is."
"65","The Ohio State University is a large school that offers many opportunities as well as a community oriented environment that is warm, welcoming and academically stimulating."
"66","Ohio State is about pride, tradition, hard work, and respect."
"67","My school is a multi-cultural melting pot that combines diversity and education into one big community."
"68","High sprited environment of students on the path towards success."
"69","Ohio State is a university for people who want access: it's humongous, so one has access to nearly unlimited people, resources, and contacts."
"70","The Ohio State University is a spirited school that is focused on academics and making students become the best person they can be."
"71","I truly believe the people at Ohio State are some the proudest, happiest, intelligent, and most high-spirited people in the nation."
"72","The Ohio State University is the best damn university in the land (a play off of ""the best damn band in the land"")!"
"73","My school is the best damn school in the land."
"74","Ohio State is a place for dreamers, academics, people who are unsure of what they want to do with their lives, people of different ethnicities, and absolutely anyone who has an unimpeded desire to learn about themselves and the world."
"75","A city with in a city."
"76","My school is a great place to learn and a ball of fun all rolled into one."
"77","Its out of a movie, There are beautiful old buildings around the oval (14 acre green space) 1960s/70s science buildings (not the prettiest) and busy kids everywhere, state of the art facilities for class, hanging out, exercising, and everything else you can imagine. The only thing that isn't out of a movie is the construction. They are constantly rebuilding streets and buildings. But as Gordon Gee (the university president) says, ""if there is no construction where you are living, get out because that place is going no where"" "
"78","Crazy amount of school spirit!"
"79","The Ohio State University diverse university with high standards and a great staff."
"80","Best campus ever!"
"81","The Ohio State University is a place of opportunity, you can be whatever you want to be, it is whatever you want it to be."
"82","The Ohio State University is a microcosm of the world beyond college, with people from all different economic, ethnic, and racial backgrounds, an array of opportunities in various fields, and an expansive community which brings together people going in many different directions."
"83","The Ohio State University is an ambitious college student's playground; they offer everything, and depending on what you need, it can be as large or small as you want."
"84","A large, inclusive community that pushes students to excell, strive for their best, and realize their potential while instilling a strong sense of school pride."
"85","I've never been anywhere in the world where I've felt like I can fit in perfectly, be surrounded by so many intelligent and open-minded people, make life-long friendships, and learn so much all in the same place!"
"86","The Ohio State University is an extremely large school with a beautiful campus and a thriving atmosphere that gives students the ability to either hide themselves in the mass of people or seize the available opportunities and stand out."
"87","OSU provides every kind of student with several opportunities to get involved and find what they are interested in."
"88","There's someone for everyone at Ohio State."
"89","Ohio State Univeristy is one of the largest universities in the country, yet with efforts can become a community atmosphere that encourages students to be open minded, strive for success, and turn dreams into realities."
"90","Large and spirited"
"91","Ohio State University is an incredible school, with limitless oppurtunities and excellence in education with dedicated peers and faculty, and a euphoric atomsphere."
"92","The Ohio Sate University is an exciting college with many opportunities, and is bursting with innovative young minds that learn from experienced professors, and create a bright future for us all."
"93","My school is the most spirited, enthusiastic, optimistic, and community-orientated university I have ever visited; it is a place that fosters learning and the development of lifelong friendships."
"94","In one word, intimidating.  People come to visit Ohio State and they're in awe.  After a week and a half on campus, it gets a lot smaller.  I've never had to walk more than 10 minutes between classes, but when I first transferred here I thought I'd be riding the bus around the city getting to and from class and work.  
In another few words, a big party.  People come to football games here with energy and ready to party, tailgate, cheer at the games and make their Saturdays count.  Ohio State has a feel of superiority to someone who's never seen it.  Because it's THE Ohio State University and prestigious.  "
"95","I love OSU. The campus has so much to do and is convenient due to the campus area bus service provided. The education here is amazing. The professors are helpful. There are so many different classes and majors to choose from. There are tutoring buildings for classes such as math and chemistry and many different advisors to assist you in your career and education search. The housing and meal plan is great here too!"
"96","My school is obnoxious yet amazing."
"97","Ohio State is a large university with lots of opportunities to get involved and to succeed in areas that you are interested in."
"98","Ohio State University is always very exciting whether it's classes or extra-curricular events."
"99","Ohio State is a place filled with overflowing school spirit.; even though it is one of the biggest schools in the country, the Buckeye name unifies every student and member in the community. You can not ask for anything more."
"100","My school is very large in size and with its quanity of people."
"101","We are Undisputed National Champs."
"102","I would definitely say the spirit and loyalty towards being a Buckeye. People live, eat, breathe, and die Ohio State and that is what I loved about it."
"103","There is so much school spirit here that I wanted to be appart the community.  It's hard not to make life long friends here.  They also offer a ton of majors which gives people lots of opportunity to find out what they want to do as a career."
"104","Very strong sense of community and breadth of resource  available."
"105","The size of Ohio State (nearly 40,000 students on the main campus) itself makes the school unique. I believe what really sets it apart though is its ability to make the school seem so much smaller; there are so many opportunities, events, clubs and activities. The students also really add a special element to Ohio State because they really help make the campus feel more like a community, and truly embody the final line of the alma mater ""How firm thy friendship..."" because people are so kind and our insane school pride brings everyone together."
"106","The Ohio State University is unequivocally unique in its ability to unite students of various backgrounds for the sake of gaining a well-rounded and personal educational experience. Although one of the largest universities in the nation,  I would always pass people I knew on the way to classes due to the large involvement of every student in academic and social extracurriculars. Most importantly, the immense spirit present at my school wasn't there because of a strong football team, but a shared sense that everyone was gaining a once in a lifetime experience in a lively and supportive community."
"107","The size and diversity of Ohio State University makes it very unique in itself. I took a leap of faith and came knowing hardly anybody, a factor only present at this school. I was able to have an entirely open mind when it came to meeting new people and have made life long friends from all over the world that I wouldn't have gotten the opportunity to meet if it weren't for Ohio State. Attending this university was a huge step outside my comfort zone and I couldn't stress how glad I am that I'm here."
"108","Go to any other ""big-city"" school, and one will not find the comfort and spirit that is found at Ohio State. I applied to colleges in huge cities, and I visited all of them, yet nothing stood out to me besides the beautiful skyscrapers. However, when I visited OSU, I immediately fell in love with all the students yelling ""O-H!"" at the new student group tours. Also, unlike other schools, OSU offers an alternative to city life; there are lakes and fields on campus that help people be in tune with nature."
"109","The students at Ohio State really reached out to me when I came to visit and when I attended orientation. I also recieved several calls to ask if I had any questions about the university. I truly felt like they cared if I attended the university. While the university is huge, there are several clubs and programs available. They have a club for basically everything, and if they don't have the club, you can make it! My scholars program is like a family to me and I would not have stayed at OSU without this program."
"110","The Agricultural College is one of the best around my area. They have outstanding professors and graduate students to assist in your endevors!"
"111","What makes Ohio State so unique is the diversity of things that it has to offer to students. The Ohio State University not only has excellent academics, but it also is situated within a city full of interesting and fun things to do, it has over 1000 student organizations in which to participate, it has over 50,000 students on its main campus to get to know, it has small class sizes to facilitate socialization and engagement within the classroom, it has incredible sports programs, and for Ohio residents it costs only $20,000 or so a year to attend."
"112","Ohio State was the largest school that I applied to, yet I felt more welcomed there than any where else. Even though there are so many people in just the undergraduate class, the school makes it easy for you to get involved and to find a place where you belong."
"113","My three options of schools were Ohio State, University of Cincinatti, and Ohio University. After visiting OSU, I fell in love with the campus. It was an amazing feeling thinking that I could potentially be a student there. Ohio State also stands high above the other two considerations academically. My biggest deciding factor was the fact that the Ohio State Fisher College of Business is one of the top Business schools in the nations. Ohio State was by far more appealing to me than UC and OU."
"114","The first thing that really the number of programs they offer, including the scholars programs, of which I am involved in now. The International Affairs program at the Ohio State University has accepted me, and shown me programs in which I'm interested in declaring as my major (International Relations). The foriegn language department is also really something to brag about. I have always been interested in learning Korean, and this is the only university I found in Ohio that does offer Korean. Another thing was the diverse, friendly environment on campus. It feels really homely here."
