"","V2"
"1","UCF stands for opportunity and it is phenomenal"
"2","UCF is the most diverse place I have ever been; my group of friends come from all places in the state, nation, and even world."
"3","This school is wonderful. It is known for its engineering college, college of education, and its vibrant school spirit."
"4","My school is creative and goal driven."
"5","A weird place where learning sometimes occurs and letters are earned in pursuit of a very important piece of paper."
"6","UCF, stands for opportunity, and it is the most beautiful school in the world."
"7","University of Central Florida is a school that offers endless opportunities to their students and truly cares about helping accomplish their goals and dreams."
"8","A unified learning center."
"9","My school provides a lot of the necessary resources and opportunities for students to be well-rounded and successful."
"10","UCF is a diverse university that, in an increasingly competitive market for careers, strives to continuously improve and add resources for students that are needed to succeed."
"11","The University of Central Florida is an excellent school that offers it's students many different opportunities to be successful and to gain a rewarding education."
"12","My school is the foundation and basis for the opportunities that we, as students, may be given throughout our lives."
"13","As the second largest university in the nation, UCF offers a plethora of opportunities and diversity, which makes for a very enriching college experience."
"14","My university has a diverse and inclusive feel to it that allows me to connect with people and develop relationships that will last for a long time."
"15","UCF is a challenging, spririt filled place to go, it provides a great learning atmosphere not just for academics but for life and figuring out who you are, who you want to be and who you want to spend time with."
"16","The University of Central Florida is a school that is always changing - hopefully, for the better of its students."
"17","My school is pretty great. It's an awesome campus and there's always stuff going on."
"18","Too many privileged white people with a dismal amount of diversity training."
"19","My experience at the University of Central Florida was a positive one. If you do well in a bigger classroom atmosphere, its the school for you. The school itself has plenty of clubs to join a thriving student government and two amazing cafeterias. The dorm rooms are new and comfortable and great for meeting fellow students."
"20","I feel at home at this school!"
"21","Opportunities"
"22","UCF is a greedy, selfish corporation that happens to sell education that is mostly taught by arrogant, overpaid professors."
"23","It is a big university with a friendly staff"
"24","My school is big, diverse, and full of opportunities and people who are there to help you."
"25","My school is very diverse, people have their own goals and interest and you can always find someone who shares these things in common with you."
"26","Big and with a lot of students, with much competition and pressure."
"27","My school is wonderfully  diversified, and very student friendly."
"28","In a word?  Huge.  UCF is definitely a big school, to the point that quite a few students take to using skateboards or bikes to navigate the campus faster.  There's also always at least one section being expanded, built up, or rebuilt--there's a reason for the running joke that UCF stands for ""Under Construction Forever.""  Whatever hasn't been reconstructed recently, such as the larger buildings like the Student Union and the Library, look pretty old on the outside, though usually the school tries to keep the interiors up to date in most cases.  

One more thing--there may be a lot of students who go to UCF, but because of how big it is and the large amount of off campus housing available nearby, it never gets too crowded.  The exception to this is parking.  Even with quite a few full parking garages and several other lots, it can still take a long time for any given student to find a space."
"29","It's looks huge to other students"
"30","For a prospective student or for someone who has never seen the main campus, the campus is pretty big. It takes a good amount of time to learn where all the buildings are and how to get to everything. The campus is a very well land scaped and looks appealing to the eye. Another thing about the campus since I have been here, there has always been something under construction. But the construction does not normally take more than a year, and always adds value and betters the school."
"31","The University of Central Florida is a diverse school that offers unlimited opportunities to its students."
"32","UCF seems to be this huge campus, which it is! But, the central area of UCF is a circle and in the heart of campus is the student union. Classes are centered around the circle of the union and then a little in the back. The outer circle of campus has the gym, the welcoming center, and housing. Also, on the outskirts you'd find knights plaza and the research park. The campus simply grows and grows. It is confusing at first to find out where to go but you will be fine in a matter of a week or so. 

UCF is beautiful with all the palm trees spread around, the reflection pond with it's shooting of water all day, and the pretty buildings."
"33","Its a great school overall.  Alot of resources available, and very well known."
"34","Friendly atmosphere, you make the most of your own college experience."
"35","UCF is a place where a diverse group of people can come together and multiple programs are offered to fit everyone's needs."
"36","A place that is full of life and a strong sense of community and friendship."
"37","My school is the greatest school in America and no school can stand up to it."
"38","UCF is a place to discover yourself while being pushed academically."
"39","My school is a gigantic research university (emphasis on 'research') where it is both extremely easy to get involved and extremely easy to fade into the background; in order to succeed here, you have to make your own way, but it isn't difficult to find people who are willing to help you get there."
"40","The University of Central Florida is building traditions and achieving excellence."
"41","The University of Central Florida is an active, upcoming learning center that is rapidly establishing itself as a school that can compete with the high-ranking public universities of America,."
"42","My school is very large and diverse, offering just about everything you can imagine to study and participate in."
"43","The University of Central Florida is unsurpassed in it's opportunities for growth, learning, and diversity and you will truly have the experience of a lifetime here!"
"44","University of Central Florida is very great institution of higher learning."
"45","Its the most multicultural, eventful learning experience out there that will guarantee your spot in line to make it to the next level!!!"
"46","The University of Central Florida should be the school of choice for any college student because of its vast amount of diverse on-campus organizations."
"47","My university is very big but lacks some school spirit."
"48","It is opportunity."
"49","My school, University of Central Florida, has fantastic programs to offer for all types of students; administration, staff, and professors give all students an opportunity to succeed and I cannot wait to be one of thousands to graduate in 2012!"
"50","The University of Central Florida is a source of a scholastic wealth and knowledge leader that severs its community through academic excellence."
"51","The students there are all focused on their education as far as I recall. they are nice, welcoming, and very helpful.  "
"52","The students at this school vary in great intensity, with 60000 students attending 12 campuses the largest student body is at the main campus. You have all ranges of clubs from Mechanical Engineering (The build race cars) to Rugby (2 Time National Champs!) to Larping on Memory Mall. "
"53","Friendly"
"54","I have not started yet."
"55","My classmates are very outgoing and determined people. Everyone I know is involved in at least one of our 627 student organizations. There is a passion that exists amongst my fellow Knights that is unparalleled."
"56","There is a myriad of students at my school who range from intelectual to beer."
"57","Most of my classmates tended to be very focused on themselves, or their coursework."
"58","Mostly younger than my own children.  You see I turn 60 on November 30, 2014.  So this is my challenge to myself to get my degree a Bucket List item if you may!!"
"59","Classmates are very friendly, and are helpful if you need help."
"60","My classmates are very success driven individuals with a bright future ahead of them."
"61","My classmates throughout the years have always been a unique and engaging group of people that I can gladly call my friends, and that I wish I had more time with."
"62","Classes have not started yet so I cannot answer this question."
"63","My classmates are amazing people.They are willing to help you out without a problem and will make sure that you understand the content that the professor showed in class. Also if they are not able to help you with the problem, they will refer you to a person or place that can. In addition, my classmates love to hang out and spend some time playing any sport or conversating about any topic."
"64","Down to earth."
"65","There are 60,000 students that attend the University of Central Florida. In my opinion there are 3 types of students. There is the homebody student. This student goes to class and goes to their dorm. They do not go out or join clubs. There is the partying student who skips class in the morning because of the party the night before. Then there is the student who can balance class, fun, extracuriculars, and time to relax. All students are smart but not all students manage time wisely."
"66","My classmates are determined, focused but, also know how to have fun."
"67","At the University of Central Florida my classmates are diverse."
"68","My classmates are open to working with new people, and they believe that it is important to collaborate with other people in order to get difficlt assignments done."
"69","My classmates are respectful."
"70","My classmates include some of the most tech savy, technologically inclined, creative, inspirational, fun, inventive, hardworking, loveable, people I have ever met in my entire life."
"71","Due to their hard work, enthusiam for their school, and undeniable drive to succeed, I can only describe my classmates as being true UCF Knights."
"72","My classmates are different: some are very careless and fall asleep in class, others always pay attention and do their best to understand the material; fortunately some are also very lazy and don't go to class, making it easier for students like me to find a good seat in a lecuture of over 400 students."
"73","My classmates are friendly and incredibly helpful."
"74","While many of my classmates are strong advocates for new-age humanitarian causes, while many of them don't even know the meaning of social norms, they still take school seriously and many of my classmates are actually apathetic when it comes to society."
"75","My classmates are interesting people. Going to school with such a large student body, you always see some interesting things going on."
"76","Always willing to lend a hand and help out a fellow Knight."
"77","My classmates tend to be outgoing, friendly and active in the University."
"78","So far, everyone I've met is really nice. Of course, there are the few that give others a hard time but its easy to tell who will be dedicated enough to make it all four years. I've made some pretty amazing friends but I try not to surround myself that are just in college for their ""Mrs. Degree"". I've found quite a few independent people that I adore."
"79","My classmates really do not focus on making friends; they focus on learning and getting a good grade."
"80","I think there is a lot of potential but to put it simply they can be desribed as lathargic pickles."
"81","They are very friendly and open to others from differet backgrounds other than their own."
"82","When I think of my 55,000 school mates I think of diversity. Not just culturally, but more so intellectually. UCF is quite the personality melting pot!"
"83","Very busy, often taking on multiple things at once, but mostly friendly."
"84","For the most part, UCF is fairly liberal, however it is still central FL. For those of you not familiar with the area, Orlando (where UCF is) is a fairly liberal minded city, but just outside is the country. Drive 45 min southwest to Polk county and people actually have country accents and confederate flags (actually, there is a confederate flag just east of UCF on SR 50 hanging from a bridge. Within the confines of Orlando and just beyond it are two separate worlds. "
"85","My classmates are absolutely spontaneous."
"86","Students at UCF are typically progressive-minded, with a fair amount of concern for academics, but also a laid back demeanor."
"87","Everyone here is so diverse that you can find any type of group to hang out with. The list of clubs and organizations is semi-intimidating, something I think is good because that means anyone could find their niche. Overall the students are pretty laid back and like to go with the flow. Sure everyone focuses on schoolwork and such but everyone also makes sure to have a good time. There is one specific free speech area on campus that can get a bit edgy and pokes at sensitive issues but it can easily be avoided by diverting routes or simply ignoring them."
"88","With over 55,000 students that enrolled in the Fall of 2011, this would take a while :)"
"89","The students who go to my school are awesome! You get to know the people your major pretty well. It is only my first semster and I have found a couple of peers who will help me throughout the rest of my degree. At the school each major has their own suite. The suites are a nice place to meet up with other peers. "
"90","The students at my school are diverse. theirs different fashion styles at my school and that correlates with the individuals you hang around with the most. The hip hop side of the school have their own essential fashion sense different from people who might like rock or country music. the good part is that no one really judges you and every one feels comfortable with whatever they wear."
"91","I have seen first hand that our campus is extremly diverse but that is also due to the size of the campus. Our school does not segregate and divide according to race, religion, or other possible divisions. The school comes together by students all from different walks of life who can share their experiences and change. This is ultimatley seen through out O-Team members who run rientation and other freshman events throughout the year. The team is made up of boys and girls, black and white, gay and straight, their is no division anyone can be apart of the team. Within a court yard outside of the student union groups have freedom of speech where they can set up polical booths to showcase their ideals and express themselves without being punished. "
"92","Most students are fairly liberal though this is certainly not true of everyone. There are many groups for people to join who seek to be with those with their same ethnic background. LGBT is also fairly active as are many religious groups. Most students should be able to find their niche but it may be harder if you are less outgoing. Students often dress casually but it is not unacceptable to dress almost any other legally accepted way. Different types of students do certainly interact though in a sense it can be somewhat cliqueish as people do have the option to be with others more like them. Most students are from Florida though there is a good number from the northeast and some international students. "
"93","No student would feel out of place at UCF, there is something for everyone. "
"94","I dont think any individual would feel out of place walking through our campus. There are such a variety of people from your business majors to your arts majors and everything in between. Students interact on their own level just like they would in high school. Its very similar but also very different. You choose who you want to be friends with. The people in the smaller majors tend to all see eachother in the same classes. Most of the students are from an array of places around the United States. "
"95","UCF has more student organizations then anyone can count, any given day many of them will have tables set up all around the central part of UCF known as the student union. No students will feel out of place, there are numerous organizations to choose from. Most students wear regular t shirts and shorts to school. Many students part of professional organizations wear business attire but more wear clothes suitable for the florida sun. All students interact well with each other even the democratic and republican student organizations. Most of the students are from the central florida area, but some are from as far down as the florida keys and as high up as new york. In fact we also have a lot of international students. Financial backgrounds range greatly, I myself come from a low income family but I have a friend that drives a 2011 mustang fully paid for by his parents. Students are usually in the center but some fluctuate either way. Students at UCF are always talking about how much they will make once they enter their prospective fields of study."
"96","Our campus has a very diverse student population at UCF. UCF has an abundant amount of student organizations available to join ranging from the chocolate club, to EQUAL, to pre-professional organizations to athletic sport clubs. No student should ever feel left out at UCF. At UCF there are student organizations that are based more on similar interests, such as the chocolate club, or the guitar club. If you don't see an organization on UCF campus that does not spark your interest you can create one. EQUAL is a student registered organization on campus which used to be known as the Gay, Lesbian, Bisexual Student Union but changed their name to EQUAL to ensure that no student would be felt left out. There are also pre-professional organizations such as Phi Alpha Delta which is the pre-law fraternity or PPMS which is the pre-med student organization. There are so many ways to get involved on campus that no student should ever feel uninvolved. 
  Students at UCF come from different financial backgrounds. Also, students at UCF vary in age. Although majority of UCF students are coming straight out of high school we do have plenty of students who are older. 
  Students at UCF are very politically aware. There are many political organizations on campus such as the College Republicans or the College Democrats but there are also other organizations which lobby such as NORML. There is no predominant political party association at UCF with students, but students at UCF do talk about politics a great deal. Never have I seen a conversation become hostile due to politics but rather students often carry intellectual conversations with one another.
  Students normally attend class in every day clothes. Sometimes you will see many students in business attire due to presentations but you rarely will see students attend class in pajamas. The only time you will tend to see students in pajamas is during finals week, and even then it is only a few students who pulled all nighters in the library that will show up to exams in pajamas.
  At UCF there are over 58,000 students who are extremely friendly. Students interact with one another constantly. You will always see a familiar face while walking around campus."
"97","The UCF campus consists of just about every racial and religious background and no one would really be out of place. The majority of students are very polite and respectful of others (surprisingly). Some students wear something close to pajamas and some students dress to impress (me). In class, many group assignments are given, which gives way to diverse student interaction. Four tables: Frat stars and sorority girls, theatre kids, engineers, and normal people. The student population consists of people from EVERYWHERE, but mostly Floridians. Students are politically and financially diverse. Doesn't everyone dream about their future salary?"
"98","My classmates are funny, lively, and actually participate in the instructors' lectures; it's not a boring experience that puts me to sleep."
"99","There is a wide array of student types in every classroom; many do the work just to get by, but there is a decent population that strives to succeed and break themselves from the mold."
