"","Sentiment","SentimentSC","Reviews","Label"
"1","Positive",3.75770282745361,"my classmates are very hardworking creative supportive and energetic classmates","community"
"2","Negative",4.38074588775635,"no one talks to each other everyone is glued to their cell phones and unable to have a conversation with one another","outcomes"
"3","Negative",0.333586782217026,"the are alot of students at ohio state","diversity"
"4","Negative",0.343955665826797,"the ohio state university student body is full of goaloriented hard working fun loving preprofessional from all around the world","diversity"
"5","Negative",2.67804598808289,"ohio state students are high achieving smart students who were all ranked very high in their high school classes however they are friendly and very willing to help out","community"
"6","Positive",3.38703155517578,"my classmates are what makes my time here at the ohio state university so enjoyable and memorable the atmosphere of my classes is extremely friendly and openminded so it makes for lasting friendships in each class however the friendships go beyond the classmates in a campus with nearly 60000 students any individual is bound to find someone else of which they can create a lifelong relationship with the abundance of friendly people at ohio state is overwhelming to an extent due to the rarity of that atmosphere in this world but thats what makes it so unique","community"
"7","Positive",4.23268413543701,"my classmates are the friendliest and most helpful people ive ever met","community"
"8","Positive",3.71785235404968,"its cliche to say but ohio state is incredibly diverse and anyone can fit in there are so many different types of people its hard to believe anyone could feel left out if youre not a sports fan you might feel a little distant on saturdays in the fall but nothing problematic most students are instate but there are tons of outofstate and international students as an outofstate student i never felt excluded or isolated because of where i was from students are incredibly laid back and pretty much anything goes people can go to class in their pjs or get dressed up its completely up to you and will go judgement free","diversity"
"9","Positive",3.0769739151001,"my classmates are all fun and loving but are also very serious about their studies and have a great work ethic","diversity"
"10","Positive",4.09493160247803,"my classmates at ohio state served as my family away from home they were the support group i turned to in times of pleasure and pain constantly challenging yet encouraging my personal growth","community"
"11","Positive",4.2109694480896,"it is difficult to generalize since i am at so large of a school but most of my classmates are friendly and we often have some area of interest in common","community"
"12","Positive",1.5579286813736,"the majority of the students are white though ohio state does have a large number of international students though the majority of the students are white there are all kinds of diverse races at ohio state and students are very accepting of all kinds of people so students will most likely not have a problem fitting in most students are very casual and wear jeans and tshirts or athletic shorts there is a lot of ohio state gear worn many of it being free from eventsmost of the students are from ohio though i am personally a out of state student from chicago the financial background that seems the most prevalent is the middle class","finanical"
"13","Positive",1.33223068714142,"my classmates are friendly and while we are competitive we do want to see one another succeed","outcomes"
"14","Positive",4.25407648086548,"my classmates are full of pride for their buckeyes from football games to cookouts my former classmates are energetic and extremely gregarious","community"
"15","Positive",4.23842000961304,"my classmates are driven eager and interactive as well as interested in learning for the sake of gaining valuable knowledge and further developing their character and skills for a hopeful future","community"
"16","Positive",3.66624712944031,"very diverse friendly","diversity"
"17","Positive",4.09015130996704,"my classmates are very intelligent and have driven to do my best at ohio state","community"
"18","Positive",3.47837114334106,"very interesting people","diversity"
"19","Positive",3.82455825805664,"my classmates are driven intelligent enthusiastic and engaging","community"
"20","Positive",2.24581265449524,"on a campus where there are over 50000 enrolled students there are few adjectives that describe everyone but at the ohio state university youll be sure to find tens of thousands of incredibly inteligent people with all kinds of backgrounds and interests","diversity"
"21","Positive",4.22545766830444,"my classmates are diverse interesting and all have the desire to learn and become successful in their adult lives","diversity"
"22","Positive",3.02447843551636,"students at ohio state are like chili brewing in a pot an array of very different indgredients coming together to produce one fabulous outcome","outcomes"
"23","Negative",2.0468738079071,"as i have said before osu maintains a wide and diverse demographic and doesnt shortchange any one group while there may be a plethora of white students it is not particularly different from the racial makeup of the united states as a whole politically ohio state is very divided though also very active","diversity"
"24","Positive",1.67861700057983,"theyre nice to talk to but many of them already have a circle of friends here from high school so it can be hard for an introverted student from outofstate like me to make friends","community"
"25","Positive",4.20864772796631,"my classmates have brought unique perspectives to class that benefit my own learning experience","diversity"
"26","Positive",4.30798482894897,"in one word diversity in one sentence our classmates come from all walks of life with the determination to reach their goals and make memories at one of the greatest universities in the nation","diversity"
"27","Positive",4.26001453399658,"at a large school like ohio state my classmates can only be defined as diverse as i had many classes with a wide variety of people","diversity"
"28","Negative",1.49249148368835,"lol","community"
"29","Positive",1.1802636384964,"my classmates have the same zeal i do when it comes to schoolwork however most of them are better off financially most of my classmates are in honors engineering courses with me so we tend to share interests i along with most of my classmates put schoolwork first i really enjoy studying with my classmates because we all support one another even though we compete directly against one another politically speaking my friends are all over the spectrum and i really enjoy hearing their stances on social issues","community"
"30","Negative",3.0788516998291,"there are a whole lot of people here so it can be hard to describe them all but the more i am here the more i come to learn that everyone is ready to talk to you and are just as scared of you as you are of them","community"
"31","Negative",2.13828325271606,"some are quiet some are loud in such a big place there are people of all sorts you never know who youre going to get","diversity"
"32","Positive",4.25446462631226,"everyone is their own individual and eager to learn","diversity"
"33","Positive",4.26462697982788,"students at my school are very diverse open minded and tolerant we have active student organizations that represent all sort of ethnicities religions political views sexual orientations and other interests","diversity"
"34","Positive",4.19254684448242,"starting answering amazing lgbtq community at osu","community"
"35","Positive",0.825614094734192,"for the most part lucky","outcomes"
"36","Positive",4.20043325424194,"i am constantly surrounded by classmates who exceed expectations in the classroom and out and are kindhearted openminded people that i know will some day be the strong leaders in our country","outcomes"
"37","Positive",4.28115367889404,"my classmates are typically all very approachable people and everybody tends to be extremely supportive of everybody else","community"
