"","Sentiment","SentimentSC","Reviews","Label"
"1","Positive",4.30817222595215,"ucf stands for opportunity and it is phenomenal","finanical"
"2","Positive",4.24016857147217,"ucf is the most diverse place i have ever been my group of friends come from all places in the state nation and even world","diversity"
"3","Positive",4.29010009765625,"this school is wonderful it is known for its engineering college college of education and its vibrant school spirit","courses"
"4","Positive",4.23766374588013,"my school is creative and goal driven","outcomes"
"5","Positive",1.34306252002716,"a weird place where learning sometimes occurs and letters are earned in pursuit of a very important piece of paper","outcomes"
"6","Positive",4.30893516540527,"ucf stands for opportunity and it is the most beautiful school in the world","finanical"
"7","Positive",4.24881362915039,"university of central florida is a school that offers endless opportunities to their students and truly cares about helping accomplish their goals and dreams","outcomes"
"8","Positive",4.18103122711182,"a unified learning center","community"
"9","Positive",2.66557502746582,"my school provides a lot of the necessary resources and opportunities for students to be wellrounded and successful","community"
"10","Positive",3.07973313331604,"ucf is a diverse university that in an increasingly competitive market for careers strives to continuously improve and add resources for students that are needed to succeed","diversity"
"11","Positive",3.32941555976868,"the university of central florida is an excellent school that offers its students many different opportunities to be successful and to gain a rewarding education","diversity"
"12","Positive",3.7093768119812,"my school is the foundation and basis for the opportunities that we as students may be given throughout our lives","community"
"13","Positive",4.28195667266846,"as the second largest university in the nation ucf offers a plethora of opportunities and diversity which makes for a very enriching college experience","diversity"
"14","Positive",4.23462677001953,"my university has a diverse and inclusive feel to it that allows me to connect with people and develop relationships that will last for a long time","diversity"
"15","Positive",4.27511644363403,"ucf is a challenging spririt filled place to go it provides a great learning atmosphere not just for academics but for life and figuring out who you are who you want to be and who you want to spend time with","courses"
"16","Negative",0.922742962837219,"the university of central florida is a school that is always changing  hopefully for the better of its students","outcomes"
"17","Positive",4.11283731460571,"my school is pretty great its an awesome campus and theres always stuff going on","community"
"18","Negative",4.52197933197021,"too many privileged white people with a dismal amount of diversity training","diversity"
"19","Positive",3.28069639205933,"my experience at the university of central florida was a positive one if you do well in a bigger classroom atmosphere its the school for you the school itself has plenty of clubs to join a thriving student government and two amazing cafeterias the dorm rooms are new and comfortable and great for meeting fellow students","community"
"20","Positive",3.74701476097107,"i feel at home at this school","community"
"21","Negative",1.67032623291016,"opportunities","outcomes"
"22","Negative",4.52716445922852,"ucf is a greedy selfish corporation that happens to sell education that is mostly taught by arrogant overpaid professors","finanical"
"23","Positive",2.84402561187744,"it is a big university with a friendly staff","courses"
"24","Positive",4.27900266647339,"my school is big diverse and full of opportunities and people who are there to help you","diversity"
"25","Positive",4.25711488723755,"my school is very diverse people have their own goals and interest and you can always find someone who shares these things in common with you","diversity"
"26","Negative",2.08244609832764,"big and with a lot of students with much competition and pressure","courses"
"27","Positive",4.20351791381836,"my school is wonderfully diversified and very student friendly","diversity"
